session_id,player_id,session_date,platform,country,duration_sec,rounds_played,rounds_won
S0000238,P00007,2024-01-27,android,TR,1324,8,1
S0000239,P00007,2024-01-27,android,TR,1309,6,3
S0000240,P00007,2024-01-27,android,TR,1001,5,3
S0000241,P00007,2024-01-27,android,TR,259,6,0
S0000242,P00007,2024-01-29,android,TR,4469,3,0
S0000243,P00007,2024-01-29,android,TR,992,8,1
S0000244,P00007,2024-01-29,android,TR,1411,8,2
S0000245,P00007,2024-01-29,android,TR,755,2,1
S0000246,P00007,2024-01-29,android,TR,3239,8,1
S0000247,P00007,2024-01-31,android,TR,1970,7,3
S0000248,P00007,2024-01-31,android,TR,1101,2,1
S0000249,P00008,2024-03-27,android,DE,1428,2,0
S0000250,P00008,2024-03-27,android,DE,4948,4,2
S0000251,P00008,2024-03-27,android,DE,1730,3,0
S0000252,P00008,2024-03-27,android,DE,1621,7,2
S0000253,P00008,2024-03-27,android,DE,1027,7,0
S0000254,P00008,2024-03-28,android,DE,580,4,3
S0000255,P00008,2024-03-29,android,DE,1642,3,2
S0000256,P00008,2024-03-29,android,DE,2197,1,1
S0000257,P00008,2024-03-30,android,DE,3497,2,0
S0000258,P00008,2024-03-30,android,DE,469,3,2
S0000259,P00008,2024-03-31,android,DE,920,4,3
S0000260,P00008,2024-03-31,android,DE,1276,6,3
S0000261,P00009,2024-03-10,android,GB,1804,6,0
S0000262,P00009,2024-03-10,android,GB,1657,5,0
S0000263,P00009,2024-03-11,android,GB,1680,6,0
S0000264,P00009,2024-03-12,android,GB,2309,4,1
S0000265,P00009,2024-03-13,android,GB,1051,7,3
S0000266,P00010,2024-01-12,android,US,3166,3,3
S0000267,P00010,2024-01-12,android,US,2345,7,0
S0000268,P00010,2024-01-13,android,US,1492,8,3
S0000269,P00010,2024-01-13,android,US,4724,7,0
S0000270,P00010,2024-01-13,android,US,4600,4,1
S0000271,P00010,2024-01-13,android,US,3164,5,0
S0000272,P00010,2024-01-14,android,US,295,3,2
S0000273,P00010,2024-01-14,android,US,4662,6,1
S0000274,P00010,2024-01-14,android,US,2912,8,0
S0000275,P00010,2024-01-15,android,US,5400,6,3
S0000276,P00010,2024-01-15,android,US,3798,7,0
S0000277,P00010,2024-01-15,android,US,4661,6,2
S0000278,P00010,2024-01-15,android,US,3063,8,1
S0000279,P00010,2024-01-17,android,US,4061,2,2
S0000280,P00010,2024-01-18,android,US,5400,5,0
S0000281,P00010,2024-01-19,android,US,2058,7,3
S0000282,P00010,2024-01-19,android,US,703,3,3
S0000283,P00010,2024-01-20,android,US,1503,3,1
S0000284,P00010,2024-01-20,android,US,2284,8,2
S0000285,P00010,2024-01-21,android,US,1891,8,0
S0000286,P00010,2024-01-24,android,US,855,7,3
S0000287,P00010,2024-01-25,android,US,679,8,3
S0000288,P00010,2024-01-25,android,US,1158,3,0
S0000289,P00010,2024-01-28,android,US,2935,4,2
S0000290,P00010,2024-01-29,android,US,4666,8,0
S0000291,P00010,2024-01-29,android,US,3133,2,1
S0000292,P00010,2024-02-03,android,US,3409,4,3
S0000293,P00010,2024-02-03,android,US,1722,2,2
S0000294,P00010,2024-02-03,android,US,635,4,2
S0000295,P00010,2024-02-05,android,US,1375,2,1
S0000296,P00010,2024-02-07,android,US,1548,4,2
S0000297,P00010,2024-02-07,android,US,1341,7,1
S0000298,P00010,2024-02-07,android,US,1868,3,1
S0000299,P00011,2024-03-16,android,FR,2356,5,2
S0000300,P00011,2024-03-17,android,FR,3016,2,0
S0000301,P00011,2024-03-17,android,FR,1530,7,0
S0000302,P00011,2024-03-17,android,FR,576,5,1
S0000303,P00011,2024-03-17,android,FR,1353,3,1
S0000304,P00011,2024-03-17,android,FR,1856,3,2
S0000305,P00011,2024-03-18,android,FR,3765,7,3
S0000306,P00011,2024-03-18,android,FR,1286,3,2
S0000307,P00011,2024-03-18,android,FR,2459,7,3
S0000308,P00011,2024-03-19,android,FR,2151,2,1
S0000309,P00011,2024-03-19,android,FR,1856,5,2
S0000310,P00011,2024-03-20,android,FR,3159,1,0
S0000311,P00011,2024-03-20,android,FR,1216,8,2
S0000312,P00011,2024-03-23,android,FR,1280,4,3
S0000313,P00011,2024-03-23,android,FR,1795,5,2
S0000314,P00011,2024-03-23,android,FR,1231,5,2
S0000315,P00011,2024-03-23,android,FR,2452,3,3
S0000316,P00011,2024-03-23,android,FR,1178,6,0
S0000317,P00011,2024-03-24,android,FR,2070,8,0
S0000318,P00011,2024-03-24,android,FR,1702,2,0
S0000319,P00012,2024-02-24,ios,PH,2056,7,1
S0000320,P00012,2024-02-24,ios,PH,1372,3,2
S0000321,P00012,2024-02-24,ios,PH,1475,3,2
S0000322,P00012,2024-02-24,ios,PH,1915,2,2
S0000323,P00012,2024-02-24,ios,PH,2041,6,2
S0000324,P00012,2024-02-25,ios,PH,1803,3,0
S0000325,P00012,2024-02-25,ios,PH,5030,7,2
S0000326,P00012,2024-02-26,ios,PH,997,7,0
S0000327,P00012,2024-02-26,ios,PH,1739,2,0
S0000328,P00012,2024-02-26,ios,PH,703,4,3
S0000329,P00012,2024-02-27,ios,PH,2260,8,0
S0000330,P00012,2024-02-27,ios,PH,925,1,1
S0000331,P00012,2024-03-01,ios,PH,1529,2,0
S0000332,P00012,2024-03-02,ios,PH,1446,2,0
S0000333,P00012,2024-03-02,ios,PH,2139,6,2
S0000334,P00012,2024-03-02,ios,PH,1297,5,1
S0000335,P00012,2024-03-03,ios,PH,1264,3,1
S0000336,P00012,2024-03-03,ios,PH,4279,2,2
S0000337,P00012,2024-03-03,ios,PH,2144,1,0
S0000338,P00012,2024-03-04,ios,PH,1291,3,3
S0000339,P00012,2024-03-04,ios,PH,1555,8,1
S0000340,P00012,2024-03-04,ios,PH,4852,2,0
S0000341,P00012,2024-03-05,ios,PH,1570,7,2
S0000342,P00012,2024-03-07,ios,PH,1195,5,0
S0000343,P00012,2024-03-08,ios,PH,1198,5,0
S0000344,P00012,2024-03-08,ios,PH,1300,5,1
S0000345,P00012,2024-03-12,ios,PH,1265,4,3
S0000346,P00012,2024-03-13,ios,PH,839,2,2
S0000347,P00012,2024-03-15,ios,PH,921,6,1
S0000348,P00012,2024-03-20,ios,PH,1099,2,0
S0000349,P00012,2024-03-20,ios,PH,2578,2,0
S0000350,P00012,2024-03-22,ios,PH,1438,7,2
S0000351,P00013,2024-01-05,android,US,1596,7,0
S0000352,P00013,2024-01-05,android,US,3874,3,2
S0000353,P00013,2024-01-06,android,US,3932,4,1
S0000354,P00013,2024-01-07,android,US,1526,2,1
S0000355,P00013,2024-01-08,android,US,1238,4,0
S0000356,P00013,2024-01-08,android,US,1076,4,0
S0000357,P00013,2024-01-08,android,US,2739,7,0
S0000358,P00013,2024-01-09,android,US,1599,5,1
S0000359,P00013,2024-01-09,android,US,1433,2,0
S0000360,P00013,2024-01-10,android,US,1109,3,3
S0000361,P00013,2024-01-10,android,US,1139,6,2
S0000362,P00013,2024-01-10,android,US,2190,3,2
S0000363,P00013,2024-01-11,android,US,821,5,0
S0000364,P00013,2024-01-11,android,US,3284,1,1
S0000365,P00013,2024-01-11,android,US,1312,7,2
S0000366,P00013,2024-01-12,android,US,1652,2,1
S0000367,P00013,2024-01-13,android,US,810,8,1
S0000368,P00013,2024-01-14,android,US,1794,2,2
S0000369,P00013,2024-01-16,android,US,1484,1,0
S0000370,P00013,2024-01-16,android,US,1754,1,0
S0000371,P00013,2024-01-16,android,US,4372,1,1
S0000372,P00013,2024-01-17,android,US,2011,3,0
S0000373,P00013,2024-01-17,android,US,1122,7,1
S0000374,P00013,2024-01-17,android,US,1179,6,1
S0000375,P00013,2024-01-17,android,US,2583,7,2
S0000376,P00013,2024-01-18,android,US,3941,6,0
S0000377,P00013,2024-01-21,android,US,2141,1,1
S0000378,P00013,2024-01-21,android,US,2733,2,1
S0000379,P00013,2024-01-21,android,US,2606,5,2
S0000380,P00013,2024-01-22,android,US,4236,1,1
S0000381,P00013,2024-01-22,android,US,561,4,2
S0000382,P00013,2024-01-24,android,US,2698,8,2
S0000383,P00013,2024-01-24,android,US,3262,8,1
S0000384,P00013,2024-01-28,android,US,809,1,0
S0000385,P00013,2024-01-28,android,US,1062,6,0
S0000386,P00013,2024-01-28,android,US,1085,6,0
S0000387,P00013,2024-01-28,android,US,1167,7,2
S0000388,P00013,2024-01-29,android,US,1354,4,3
S0000389,P00013,2024-01-29,android,US,2091,8,0
S0000390,P00013,2024-01-31,android,US,3039,1,0
S0000391,P00013,2024-02-06,android,US,3459,3,3
S0000392,P00013,2024-02-07,android,US,1093,7,1
S0000393,P00013,2024-02-07,android,US,1089,4,2
S0000394,P00013,2024-02-15,android,US,3981,2,0
S0000395,P00013,2024-02-16,android,US,2665,6,3
S0000396,P00013,2024-02-16,android,US,1900,2,2
S0000397,P00013,2024-03-04,android,US,2401,3,0
S0000398,P00014,2024-01-04,android,US,1775,1,0
S0000399,P00014,2024-01-05,android,US,2476,3,1
S0000400,P00014,2024-01-05,android,US,1477,7,2
S0000401,P00014,2024-01-05,android,US,2124,2,2
S0000402,P00014,2024-01-05,android,US,730,5,0
S0000403,P00014,2024-01-05,android,US,1196,1,0
S0000404,P00014,2024-01-06,android,US,1204,3,0
S0000405,P00014,2024-01-06,android,US,1444,6,0
S0000406,P00014,2024-01-07,android,US,1037,3,3
S0000407,P00014,2024-01-07,android,US,1312,7,3
S0000408,P00014,2024-01-08,android,US,728,3,2
S0000409,P00014,2024-01-08,android,US,2512,4,1
S0000410,P00014,2024-01-09,android,US,1720,3,0
S0000411,P00014,2024-01-09,android,US,649,4,2
S0000412,P00014,2024-01-10,android,US,1095,8,0
S0000413,P00014,2024-01-10,android,US,2212,2,1
S0000414,P00014,2024-01-10,android,US,1305,7,1
S0000415,P00014,2024-01-10,android,US,1190,7,1
S0000416,P00014,2024-01-11,android,US,1728,4,0
S0000417,P00014,2024-01-11,android,US,2221,7,2
S0000418,P00014,2024-01-11,android,US,763,8,3
S0000419,P00014,2024-01-12,android,US,2515,6,3
S0000420,P00014,2024-01-12,android,US,1118,5,1
S0000421,P00014,2024-01-13,android,US,1788,1,1
S0000422,P00014,2024-01-13,android,US,1770,1,1
S0000423,P00014,2024-01-14,android,US,1317,4,1
S0000424,P00014,2024-01-14,android,US,978,2,0
S0000425,P00014,2024-01-14,android,US,1523,4,2
S0000426,P00014,2024-01-15,android,US,4794,1,0
S0000427,P00014,2024-01-15,android,US,798,7,2
S0000428,P00014,2024-01-15,android,US,4990,3,1
S0000429,P00014,2024-01-16,android,US,1547,6,0
S0000430,P00015,2024-01-12,android,US,1846,4,3
S0000431,P00015,2024-01-12,android,US,941,5,1
S0000432,P00015,2024-01-13,android,US,1138,4,1
S0000433,P00015,2024-01-14,android,US,1337,6,1
S0000434,P00015,2024-01-14,android,US,965,3,2
S0000435,P00015,2024-01-15,android,US,1595,6,0
S0000436,P00015,2024-01-15,android,US,1416,1,0
S0000437,P00015,2024-01-15,android,US,5400,3,0
S0000438,P00015,2024-01-15,android,US,898,6,0
S0000439,P00015,2024-01-16,android,US,1922,7,0
S0000440,P00015,2024-01-16,android,US,2097,6,2
S0000441,P00015,2024-01-16,android,US,951,6,1
S0000442,P00015,2024-01-16,android,US,2730,3,3
S0000443,P00015,2024-01-19,android,US,1423,6,1
S0000444,P00015,2024-01-22,android,US,405,5,1
S0000445,P00015,2024-01-22,android,US,2686,3,0
S0000446,P00015,2024-01-22,android,US,925,7,0
S0000447,P00015,2024-01-23,android,US,964,4,0
S0000448,P00015,2024-01-25,android,US,2731,4,2
S0000449,P00015,2024-01-25,android,US,1468,6,1
S0000450,P00015,2024-01-25,android,US,3135,2,2
S0000451,P00015,2024-01-28,android,US,3737,4,1
S0000452,P00015,2024-01-30,android,US,1227,1,0
S0000453,P00015,2024-01-30,android,US,2910,7,3
S0000454,P00015,2024-01-30,android,US,1149,7,1
S0000455,P00015,2024-02-04,android,US,5400,4,1
S0000456,P00015,2024-02-04,android,US,1192,8,0
S0000457,P00015,2024-02-06,android,US,3346,5,0
S0000458,P00015,2024-02-07,android,US,2999,7,1
S0000459,P00015,2024-02-11,android,US,2185,8,0
S0000460,P00015,2024-02-11,android,US,1209,7,1
S0000461,P00015,2024-02-14,android,US,1651,4,3
S0000462,P00015,2024-02-21,android,US,496,8,1
S0000463,P00015,2024-02-21,android,US,2068,1,1
S0000464,P00015,2024-02-22,android,US,2230,8,1
S0000465,P00015,2024-02-23,android,US,1958,5,0
S0000466,P00016,2024-01-28,android,BR,303,2,2
S0000467,P00016,2024-01-28,android,BR,846,7,1
S0000468,P00016,2024-01-29,android,BR,1154,3,3
S0000469,P00016,2024-01-30,android,BR,2153,5,1
S0000470,P00016,2024-01-30,android,BR,2150,5,0
S0000471,P00016,2024-01-31,android,BR,1632,2,0
S0000472,P00016,2024-01-31,android,BR,2646,6,3
S0000473,P00016,2024-02-02,android,BR,976,7,3
S0000474,P00016,2024-02-02,android,BR,2607,8,1
S0000475,P00016,2024-02-03,android,BR,2403,1,0
S0000476,P00016,2024-02-04,android,BR,2267,3,1
S0000477,P00016,2024-02-04,android,BR,1620,4,1
S0000478,P00016,2024-02-04,android,BR,5400,3,0
S0000479,P00016,2024-02-05,android,BR,2430,7,1
S0000480,P00016,2024-02-05,android,BR,1011,3,2
S0000481,P00016,2024-02-05,android,BR,2098,6,0
S0000482,P00016,2024-02-05,android,BR,2839,2,1
S0000483,P00016,2024-02-05,android,BR,1270,7,2
S0000484,P00016,2024-02-07,android,BR,3475,1,1
S0000485,P00016,2024-02-07,android,BR,2273,2,1
S0000486,P00016,2024-02-07,android,BR,443,3,1
S0000487,P00016,2024-02-07,android,BR,2164,2,0
S0000488,P00016,2024-02-09,android,BR,1417,6,3
S0000489,P00016,2024-02-10,android,BR,2495,8,0
S0000490,P00016,2024-02-10,android,BR,3186,3,2
S0000491,P00016,2024-02-11,android,BR,2032,7,0
S0000492,P00016,2024-02-11,android,BR,4910,7,2
S0000493,P00016,2024-02-13,android,BR,1624,5,2
S0000494,P00016,2024-02-13,android,BR,2630,1,1
S0000495,P00016,2024-02-15,android,BR,2930,8,0
S0000496,P00016,2024-02-17,android,BR,1705,8,2
S0000497,P00016,2024-02-18,android,BR,2884,2,0
S0000498,P00016,2024-02-18,android,BR,1265,8,1
S0000499,P00016,2024-02-24,android,BR,1403,2,1
S0000500,P00016,2024-02-24,android,BR,822,7,1
S0000501,P00016,2024-02-24,android,BR,2089,1,0
S0000502,P00016,2024-02-25,android,BR,2197,1,0
S0000503,P00016,2024-02-25,android,BR,3668,1,1
S0000504,P00016,2024-02-25,android,BR,2906,1,1
S0000505,P00016,2024-03-02,android,BR,1524,6,3
